traffic_rate_fast,traffic_rate_slow,avg_pkt_size_fast,avg_pkt_size_slow,pkt_size_var_fast,pkt_size_var_slow,src_volume_bytes,src_pkt_count,src_conn_count,attack,category,subcategory,device_id,dataset_source
158.05412445855063,337.8022711404348,67.45057939909583,67.51781945366139,49.61035893250664,49.29338589606049,10660.842271146044,158.05412445855063,1.0,1,mirai,syn,5,n_baiot
170.83508397494342,756.4607577547699,73.34043348586964,71.47079650702688,8.627852595855984,29.04756433516468,12529.119113317292,170.83508397494342,162.08842833203053,1,mirai,syn,2,n_baiot
1.0,1.0,60.0,60.0,0.0,0.0,60.0,1.0,1.0,1,gafgyt,tcp,9,n_baiot
1.0,1.0,60.0,60.0,0.0,0.0,60.0,1.0,1.0,1,gafgyt,tcp,6,n_baiot
132.35610723572415,603.8198953955869,524.3559244692324,438.1272163543471,13764.945616236191,43803.01523430203,69401.70896873699,132.35610723572415,124.41339405549527,1,mirai,udp,2,n_baiot
1.0,1.0,60.0,60.0,0.0,0.0,60.0,1.0,1.0,1,gafgyt,udp,3,n_baiot
102.82796448778944,492.1435611722818,210.2424223220931,314.5288957858823,51644.87870992387,60936.35762625738,21618.80033636302,102.82796448778944,1.0,1,mirai,udp,6,n_baiot
67.87308979678662,143.4251646782952,74.03132993953376,74.33949262045955,0.7510815670120792,62.72103890515245,5024.735104761512,67.87308979678662,1.0,1,gafgyt,scan,6,n_baiot
134.96492727116728,455.24236693136055,343.78296944605887,324.7478142823518,63014.4508116268,63826.68138693215,46398.64346835326,134.96492727116728,75.66771418630334,1,mirai,ack,5,n_baiot
1.0,1.0,60.0,60.0,0.0,0.0,60.0,1.0,1.0,1,gafgyt,tcp,6,n_baiot
124.98106448560225,632.4896407039901,453.3787934741885,417.05602096206064,39568.16003281871,48859.85447133482,56663.7642236021,124.98106448560225,99.51666387649443,1,mirai,udp,8,n_baiot
3.440050746469969,24.196345915535865,81.18503898472757,75.95145173330093,120.81615042191332,43.17064325650336,279.2806539616056,3.440050746469969,1.029870780122996,1,gafgyt,scan,5,n_baiot
165.8178952739293,430.248597609246,205.78004533834832,295.0302534044623,50763.44685843712,60859.73249408246,34122.01400737867,165.8178952739293,48.93302614079432,1,mirai,udp,6,n_baiot
175.86302015019908,883.675351605168,68.42383498826415,70.81967067721546,46.96795778336036,35.06438176459778,12033.222271294995,175.86302015019908,1.0,1,mirai,syn,9,n_baiot
